,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
998,198,lemon peel,Adzuki bean,2789.85,fruity,0.14813
1004,199,lemon peel,Gram bean,1864.0,fruity,0.16272
1010,200,lemon peel,Mung bean,5093.0,fruity,0.14255
1018,204,lemon peel,Common grape,401.6,fruity,0.34879
1027,205,lemon peel,Corn,35835.35,fruity,0.2765
1029,205,watercress,Corn,0.9315950070000001,fruity,1e-05
1036,206,lemon peel,Ginger,596.3,fruity,0.16058
1047,208,lemon peel,Banana,301.0,fruity,0.17862
1054,214,lemon peel,Celeriac,90.0,fruity,0.14354
1061,224,lemon peel,Longan,200.0,fruity,0.11403
1070,229,lemon peel,Nectarine,30.0,fruity,0.1456
1080,237,watercress,Swiss chard,14.600000024,fruity,0.00456
1087,241,lemon peel,Welsh onion,126.0,fruity,0.22303
1094,242,lemon peel,Hard wheat,1459.0,fruity,0.40128
1095,242,watercress,Hard wheat,0.896333337,fruity,0.00025
1101,243,lemon peel,Shallot,978.0,fruity,0.2328
1111,245,lemon peel,Carrot,1043.25,fruity,0.10808
1115,245,watercress,Carrot,7.219799986,fruity,0.00075
1122,246,lemon peel,Triticale,2380.0,fruity,0.33014
1128,247,lemon peel,Black cabbage,652.0,fruity,0.17195
1135,249,lemon peel,Celery leaves,90.0,fruity,0.14354
1142,252,lemon peel,Pak choy,157.0,fruity,0.09387
1149,253,lemon peel,Napa cabbage,87.0,fruity,0.09025
1157,256,lemon peel,Grapefruit,738.0,fruity,0.38088
1160,256,watercress,Grapefruit,0.448999997,fruity,0.00023
1167,261,lemon peel,Daikon radish,331.0,fruity,0.1418
1177,264,lemon peel,Red beetroot,248.85,fruity,0.10529
1187,268,lemon peel,Beer,548.035,fruity,0.0131
1193,268,watercress,Beer,3.5722347809999997,fruity,9e-05
1200,269,lemon peel,Other bread,17190.0,fruity,0.37857
1207,270,lemon peel,Breakfast cereal,39439.0,fruity,0.30643
1213,272,lemon peel,Other soy product,36168.0,fruity,0.19015
1219,274,lemon peel,Pasta,54204.0,fruity,0.39806
1226,275,lemon peel,Biscuit,47061.0,fruity,0.3257
1230,277,watercress,Spirit,0.020000001,fruity,0.0
1237,280,lemon peel,Abalone,1549.0,fruity,0.13438
1244,283,lemon peel,Acorn,870.0,fruity,0.1369
1250,284,lemon peel,Winter squash,439.0,fruity,0.15623
1256,286,lemon peel,Red king crab,1241.0,fruity,0.10391
1265,289,lemon peel,Amaranth,1815.3,fruity,0.15541
1271,291,lemon peel,Arrowroot,9.0,fruity,0.12329
1277,292,lemon peel,Asian pear,16.0,fruity,0.18605
1283,293,lemon peel,Atlantic herring,3690.0,fruity,0.11015
1289,294,lemon peel,Atlantic mackerel,1501.0,fruity,0.11018
1295,295,lemon peel,Painted comber,1161.0,fruity,0.10832
1301,296,lemon peel,Atlantic pollock,1569.0,fruity,0.11019
1307,297,lemon peel,Atlantic wolffish,2592.0,fruity,0.11837
1312,298,lemon peel,Bamboo shoots,622.0,fruity,0.32737
1318,299,lemon peel,Striped bass,1431.0,fruity,0.11019
1324,301,lemon peel,Beech nut,326.0,fruity,0.1677
1330,302,lemon peel,Beluga whale,3481.0,fruity,0.15242
1336,306,lemon peel,Blue crab,2627.0,fruity,0.11367
1342,307,lemon peel,Blue mussel,1457.0,fruity,0.12985
1348,308,lemon peel,Northern bluefin tuna,1882.0,fruity,0.11014
1354,309,lemon peel,Bluefish,1617.0,fruity,0.11017
1360,312,lemon peel,Breadfruit,1548.5,fruity,0.13742
1366,313,lemon peel,Breadnut tree seed,726.0,fruity,0.1338
1372,314,lemon peel,Rapini,289.0,fruity,0.16309
1378,317,lemon peel,Burbot,1558.0,fruity,0.11015
1384,319,lemon peel,American butterfish,1394.0,fruity,0.11015
1390,320,lemon peel,Butternut,2493.35,fruity,0.16693
1396,321,lemon peel,Butternut squash,251.0,fruity,0.15697
1404,326,lemon peel,Carob,2234.0,fruity,0.15278
1411,327,lemon peel,Common carp,1439.0,fruity,0.11017
1417,328,lemon peel,Cassava,257.75,fruity,0.17531
1423,329,lemon peel,Channel catfish,3170.0,fruity,0.11463
1429,330,lemon peel,Chayote,566.75,fruity,0.16478
1435,331,lemon peel,Cherimoya,157.0,fruity,0.3848
1441,332,lemon peel,Chervil,488.0,fruity,0.14743
1447,333,lemon peel,Chia,776.0,fruity,0.14758
1453,334,lemon peel,Chicken,12540.0,fruity,0.19012
1459,336,lemon peel,Chinese chestnut,708.0,fruity,0.14458
1465,339,lemon peel,Cisco,1250.0,fruity,0.11018
1471,341,lemon peel,Coconut,2695.0,fruity,0.15699
1477,342,lemon peel,Pacific cod,1140.0,fruity,0.10705
1483,343,lemon peel,Atlantic cod,4463.0,fruity,0.11017
1489,344,lemon peel,Common octopus,1825.0,fruity,0.12983
1495,345,lemon peel,Corn salad,658.5,fruity,0.16214
1501,346,lemon peel,Cottonseed,7355.0,fruity,0.1547
1507,347,lemon peel,Catjang pea,1802.0,fruity,0.16076
1513,348,lemon peel,Malus (Crab apple),42.0,fruity,0.1597
1519,350,lemon peel,Atlantic croaker,1388.0,fruity,0.12047
1525,351,lemon peel,Cusk,1533.0,fruity,0.1102
1531,352,lemon peel,Cuttlefish,1987.0,fruity,0.1298
1537,355,lemon peel,Dock,328.0,fruity,0.16673
1544,356,lemon peel,Dolphin fish,1493.0,fruity,0.11018
1550,357,lemon peel,Freshwater drum,1415.0,fruity,0.11014
1556,359,lemon peel,Dungeness crab,1310.0,fruity,0.10404
1562,361,lemon peel,Eastern oyster,1811.0,fruity,0.13497
1568,362,lemon peel,Freshwater eel,1488.0,fruity,0.11017
1574,363,lemon peel,Elderberry,151.0,fruity,0.13153
1582,367,lemon peel,European anchovy,1741.0,fruity,0.11017
1588,368,lemon peel,European chestnut,1246.6,fruity,0.16675
1594,369,lemon peel,Turbot,2456.0,fruity,0.11821
1600,371,lemon peel,Florida pompano,1491.0,fruity,0.11018
1606,372,lemon peel,Ginkgo nuts,1921.4,fruity,0.25252
1612,374,lemon peel,Grape,619.0,fruity,0.27436
1619,375,lemon peel,Greenland halibut/turbot,2159.0,fruity,0.11978
1625,377,lemon peel,Grouper,1563.0,fruity,0.11012
1631,379,lemon peel,Haddock,5960.0,fruity,0.12511
1637,380,lemon peel,Hippoglossus (Common halibut),3152.0,fruity,0.11217
1643,381,lemon peel,Hazelnut,2998.0,fruity,0.16393
1649,382,lemon peel,Hickory nut,571.0,fruity,0.15765
1655,384,lemon peel,Horseradish tree,2239.25,fruity,0.14692
1663,386,lemon peel,Hyacinth bean,2648.6,fruity,0.1404
1669,388,lemon peel,Pacific jack mackerel,820.0,fruity,0.11016
1675,389,lemon peel,Jackfruit,17.0,fruity,0.03803
1681,390,lemon peel,Japanese chestnut,705.0,fruity,0.17529
1687,392,lemon peel,Jerusalem artichoke,257.3,fruity,0.14516
1693,394,lemon peel,Jute,1695.1,fruity,0.18062
1700,395,lemon peel,Kale,2002.0,fruity,0.2118
1707,396,lemon peel,Kelp,73.0,fruity,0.15368
1713,397,lemon peel,King mackerel,1636.0,fruity,0.11012
1720,399,lemon peel,Lambsquarters,1384.75,fruity,0.14396
