,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
1444,333,feta cheese,Chia,970.0,milky,0.18447
1456,336,feta cheese,Chinese chestnut,998.0,milky,0.2038
1462,339,feta cheese,Cisco,3247.0,milky,0.28621
1468,341,feta cheese,Coconut,2295.0,milky,0.13369
1474,342,feta cheese,Pacific cod,3115.0,milky,0.29252
1480,343,feta cheese,Atlantic cod,11592.0,milky,0.28614
1486,344,feta cheese,Common octopus,3342.0,milky,0.23775
1492,345,feta cheese,Corn salad,852.75,milky,0.20997
1498,346,feta cheese,Cottonseed,8754.0,milky,0.18413
1504,347,feta cheese,Catjang pea,2714.0,milky,0.24213
1510,348,feta cheese,Malus (Crab apple),50.0,milky,0.19011
1516,350,feta cheese,Atlantic croaker,3204.0,milky,0.27808
1522,351,feta cheese,Cusk,3980.0,milky,0.2861
1528,352,feta cheese,Cuttlefish,3640.0,milky,0.23778
1534,355,feta cheese,Dock,325.0,milky,0.1652
1541,356,feta cheese,Dolphin fish,3877.0,milky,0.28613
1547,357,feta cheese,Freshwater drum,3676.0,milky,0.28614
1553,359,feta cheese,Dungeness crab,3454.0,milky,0.27432
1559,361,feta cheese,Eastern oyster,3176.0,milky,0.2367
1565,362,feta cheese,Freshwater eel,3865.0,milky,0.28615
1571,363,feta cheese,Elderberry,93.0,milky,0.08101
1579,367,feta cheese,European anchovy,4522.0,milky,0.28615
1585,368,feta cheese,European chestnut,1410.3,milky,0.18865
1591,369,feta cheese,Turbot,4864.0,milky,0.23411
1597,371,feta cheese,Florida pompano,3872.0,milky,0.28612
1603,372,feta cheese,Ginkgo nuts,1142.7,milky,0.15018
1609,374,feta cheese,Grape,182.0,milky,0.08067
1616,375,feta cheese,Greenland halibut/turbot,4212.0,milky,0.23369
1622,377,feta cheese,Grouper,4061.0,milky,0.28613
1628,379,feta cheese,Haddock,10379.0,milky,0.21788
1634,380,feta cheese,Hippoglossus (Common halibut),8014.0,milky,0.28521
1640,381,feta cheese,Hazelnut,1757.0,milky,0.09607
1646,382,feta cheese,Hickory nut,497.0,milky,0.13722
1652,384,feta cheese,Horseradish tree,2665.75,milky,0.1749
1660,386,feta cheese,Hyacinth bean,4204.5,milky,0.22287
1666,388,feta cheese,Pacific jack mackerel,2130.0,milky,0.28614
1672,389,feta cheese,Jackfruit,69.0,milky,0.15436
1678,390,feta cheese,Japanese chestnut,735.0,milky,0.18274
1684,392,feta cheese,Jerusalem artichoke,428.8,milky,0.24192
1690,394,feta cheese,Jute,1533.25,milky,0.16337
1697,395,feta cheese,Kale,1601.0,milky,0.16937
1704,396,feta cheese,Kelp,82.0,milky,0.17263
1710,397,feta cheese,King mackerel,4251.0,milky,0.28615
1717,399,feta cheese,Lambsquarters,2198.5,milky,0.22856
1723,401,feta cheese,Wild leek,948.0,milky,0.20193
1730,402,feta cheese,Common ling,3980.0,milky,0.28619
1736,403,feta cheese,Lingcod,3701.0,milky,0.28615
1742,404,feta cheese,American lobster,2666.0,milky,0.23452
1748,406,feta cheese,Lotus,1249.0,milky,0.184
1754,407,feta cheese,Sacred lotus,1012.0,milky,0.13376
1762,408,feta cheese,White lupine,5642.75,milky,0.14756
1769,409,feta cheese,Malabar spinach,752.25,milky,0.20926
1773,410,feta cheese,Mammee apple,37.0,milky,1.0
1776,413,feta cheese,Milkfish,4303.0,milky,0.28612
1782,414,feta cheese,Monkfish,3035.0,milky,0.28616
1787,416,feta cheese,Moth bean,3412.9,milky,0.62966
1790,417,feta cheese,Mountain yam,352.0,milky,0.17902
1796,418,feta cheese,Striped mullet,4055.0,milky,0.28615
1802,420,feta cheese,White mustard,3690.1,milky,0.18996
1809,423,feta cheese,Nopal,122.0,milky,0.20784
1815,424,feta cheese,Ocean pout,3487.0,milky,0.28615
1821,427,feta cheese,Okra,513.0,milky,0.17009
1827,432,feta cheese,Pacific herring,3436.0,milky,0.28617
1833,433,feta cheese,Pacific oyster,2118.0,milky,0.23774
1839,434,feta cheese,Pacific rockfish,3996.0,milky,0.3
1845,436,feta cheese,Pepper (C. frutescens),407.6,milky,0.19432
1851,437,feta cheese,Common persimmon,45.0,milky,0.2093
1857,439,feta cheese,Northern pike,4035.0,milky,0.28611
1863,440,feta cheese,Pili nut,369.0,milky,0.11977
1869,441,feta cheese,Colorado pinyon,881.75,milky,0.13276
1876,444,feta cheese,French plantain,157.0,milky,0.16236
1882,447,feta cheese,Opium poppy,2090.95,milky,0.14954
1888,448,feta cheese,Prairie turnip,274.3,milky,0.2778
1896,450,feta cheese,Quinoa,1005.0,milky,0.20816
1902,453,feta cheese,Rainbow smelt,3695.0,milky,0.28619
1908,454,feta cheese,Rainbow trout,8189.0,milky,0.28611
1914,458,feta cheese,Orange roughy,3582.0,milky,0.30341
1920,459,feta cheese,Sablefish,4433.0,milky,0.28617
1926,460,feta cheese,Pink salmon,11468.0,milky,0.25508
1932,461,feta cheese,Chum salmon,9886.0,milky,0.28127
1938,462,feta cheese,Coho salmon,12647.0,milky,0.28437
1944,463,feta cheese,Sockeye salmon,19389.0,milky,0.26231
1950,464,feta cheese,Chinook salmon,9464.0,milky,0.27846
1956,465,feta cheese,Atlantic salmon,8058.0,milky,0.2846
1962,468,feta cheese,Sapodilla,39.0,milky,0.28676
1968,469,feta cheese,Mamey sapote,73.0,milky,0.17136
1974,470,feta cheese,Spanish mackerel,3937.0,milky,0.2861
1980,471,feta cheese,Pacific sardine,1400.0,milky,0.25764
1986,472,feta cheese,Scallop,3913.0,milky,0.2204
1992,473,feta cheese,Scup,3956.0,milky,0.28613
1998,475,feta cheese,Steller sea lion,100.0,milky,0.125
2003,476,feta cheese,Bearded seal,16515.0,milky,0.26829
2009,478,feta cheese,Sea trout,3509.0,milky,0.28612
2014,479,feta cheese,Sesbania flower,178.0,milky,0.45178
2017,480,feta cheese,American shad,3548.0,milky,0.28611
2023,481,feta cheese,Shark,3560.0,milky,0.2808
2029,482,feta cheese,Sheefish,1820.0,milky,0.24106
2040,484,feta cheese,Sheepshead,4246.0,milky,0.28618
2046,485,feta cheese,Hedge mustard,806.0,milky,0.20221
2052,486,feta cheese,Skipjack tuna,4610.0,milky,0.2861
2058,487,feta cheese,Snapper,4298.0,milky,0.28615
2062,488,feta cheese,Soursop,249.0,milky,1.0
2065,489,feta cheese,Spelt,409.0,milky,0.09674
2071,490,feta cheese,Spirulina,3337.0,milky,0.15826
2077,493,feta cheese,Strawberry guava,65.25,milky,0.13426
2083,494,feta cheese,Greater sturgeon,6249.0,milky,0.28615
2089,495,feta cheese,White sucker,3512.0,milky,0.28613
2093,496,feta cheese,Sugar apple,185.25,milky,1.0
2096,497,feta cheese,Pumpkinseed sunfish,4066.0,milky,0.28618
2102,498,feta cheese,Swordfish,3986.0,milky,0.2861
2108,499,feta cheese,Taro,1755.25,milky,0.30613
2116,500,feta cheese,Teff,485.0,milky,0.11023
2122,501,feta cheese,Tilefish,3856.0,milky,0.28612
2128,504,feta cheese,"Salmonidae (Salmon, Trout)",11853.0,milky,0.19133
2134,505,feta cheese,Turkey,1609.0,milky,0.10225
2140,506,feta cheese,"Cattle (Beef, Veal)",1880496.0,milky,0.24454
2146,507,feta cheese,Walleye,4012.0,milky,0.28618
2152,508,feta cheese,Alaska pollock,3275.0,milky,0.2866
2156,510,feta cheese,Wax gourd,146.75,milky,1.0
2159,511,feta cheese,Whelk,4395.0,milky,0.19545
2165,514,feta cheese,Whitefish,12520.0,milky,0.25751
2171,515,feta cheese,Whiting,3838.0,milky,0.28612
2177,516,feta cheese,Wild rice,799.0,milky,0.15245
2183,518,feta cheese,Winged bean,6786.5,milky,0.2196
2189,519,feta cheese,Yam,234.0,milky,0.1481
2195,520,feta cheese,Jicama,338.5,milky,0.2187
2201,522,feta cheese,Yellowfin tuna,4712.0,milky,0.28617
2207,523,feta cheese,Yellowtail amberjack,4851.0,milky,0.28619
2213,525,feta cheese,Albacore tuna,9212.0,milky,0.28614
2219,526,feta cheese,Gadus (Common cod),10770.0,milky,0.15027
2225,527,feta cheese,Atlantic halibut,3800.0,milky,0.16408
2231,530,feta cheese,Smelt,3690.0,milky,0.21604
2237,531,feta cheese,"Clupeinae (Herring, Sardine, Sprat)",18100.0,milky,0.1541
2243,532,feta cheese,Spiny lobster,4087.0,milky,0.27437
2249,533,feta cheese,Snow crab,3671.0,milky,0.27434
2255,534,feta cheese,Black-eyed pea,5462.0,milky,0.29072
2261,535,feta cheese,Deer,18946.0,milky,0.25686
2267,536,feta cheese,Macadamia nut,364.5,milky,0.05628
2273,537,feta cheese,Percoidei (Bass and others),11880.0,milky,0.28615
2279,538,feta cheese,Perciformes,4206.0,milky,0.2861
2285,540,feta cheese,Rabbit,6999.0,milky,0.21927
2291,541,feta cheese,Domestic goat,3548.0,milky,0.46875
2294,544,feta cheese,"Bivalvia (Clam, Mussel, Oyster)",7490.0,milky,0.22707
2300,545,feta cheese,Squid,2474.0,milky,0.23508
2306,546,feta cheese,Shrimp,16443.0,milky,0.21003
2312,547,feta cheese,Crayfish,5658.0,milky,0.27441
2318,548,feta cheese,Flatfish,4531.0,milky,0.22498
2324,549,feta cheese,Domestic pig,750870.0,milky,0.23154
2330,552,feta cheese,Oriental wheat,598.0,milky,0.09968
2336,553,feta cheese,Yardlong bean,5854.95,milky,0.30676
2343,555,feta cheese,Quail,5527.0,milky,0.24202
2349,557,feta cheese,Persian lime,30.0,milky,0.26838
2356,558,feta cheese,Feijoa,52.0,milky,0.25
2362,561,feta cheese,Common mushroom,1514.0,milky,0.1561
2368,562,feta cheese,Shiitake,703.0,milky,0.14723
2374,563,feta cheese,Purple laver,222.0,milky,0.10359
2380,564,feta cheese,Wakame,112.0,milky,0.15775
2386,565,feta cheese,Enokitake,130.0,milky,0.15116
2392,567,feta cheese,Oyster mushroom,126.0,milky,0.0443
2398,569,feta cheese,Maitake,90.0,milky,0.16854
2404,571,feta cheese,Spot croaker,3879.0,milky,0.28608
2410,575,feta cheese,Wheat,13139.3379327,milky,0.08517
2417,577,feta cheese,Agave,28.0,milky,0.24348
2423,580,feta cheese,Anchovy,1100.0,milky,0.13995
2429,587,feta cheese,Crab,5200.0,milky,0.13171
2435,590,feta cheese,Anatidae,5620.0,milky,0.09933
2441,591,feta cheese,Anguilliformes,3500.0,milky,0.15695
2447,593,feta cheese,Garfish,1900.0,milky,0.152
2453,597,feta cheese,Lemon sole,1700.0,milky,0.11341
2459,598,feta cheese,Clawed lobster,4500.0,milky,0.13112
2465,600,feta cheese,"Scombridae (Bonito, Mackerel, Tuna)",6300.0,milky,0.1551
2471,601,feta cheese,Marine mussel,4250.0,milky,0.13741
2477,603,feta cheese,Norway lobster,1500.0,milky,0.12799
2483,606,feta cheese,True oyster,610.0,milky,0.23106
2489,608,feta cheese,Persimmon,39.0,milky,0.11712
2495,610,feta cheese,"Pleuronectidae (Dab, Halibut, Plaice)",1700.0,milky,0.14555
2501,618,feta cheese,True sole,1800.0,milky,0.2765
2507,619,feta cheese,Catfish,3700.0,milky,0.21252
2513,621,feta cheese,Thunnus,20093.0,milky,0.21535
2519,622,feta cheese,Walnut,490.0,milky,0.11836
2542,630,feta cheese,Liquor,443.0,milky,0.00172
2550,631,feta cheese,Cheese,212506.0,milky,0.16258
2556,632,feta cheese,Milk (Cow),668401.0,milky,0.34887
2563,633,feta cheese,Eggs,67421.0,milky,0.18665
2570,634,feta cheese,Yogurt,8596.0,milky,0.19359
2576,638,feta cheese,Bean,2653.0,milky,0.24709
2588,641,feta cheese,Ice cream,3908.0,milky,0.17463
2595,643,feta cheese,Honey,8.0,milky,0.06244
2620,654,feta cheese,Cake,11262.0,milky,0.15986
2626,655,feta cheese,Pizza,21632.0,milky,0.18549
2632,656,feta cheese,Ymer,1070.0,milky,0.13194
2638,657,feta cheese,Other snack food,13242.0,milky,0.14336
2644,659,feta cheese,Crisp bread,2700.0,milky,0.07825
2651,660,feta cheese,Pastry,20122.0,milky,0.12681
2657,663,feta cheese,Marzipan,360.0,milky,0.0604
2663,664,feta cheese,Salad dressing,1710.0,milky,0.18484
2669,665,feta cheese,Sauce,2064.0,milky,0.22567
2676,667,feta cheese,Butter,289.0,milky,0.19448
2682,669,feta cheese,Cream,3674.0,milky,0.17188
2688,671,feta cheese,Sausage,104390.0,milky,0.21077
2694,673,feta cheese,Mustard,360.0,milky,0.11043
2700,674,feta cheese,Pate,4355.0,milky,0.18979
2706,677,feta cheese,Meat bouillon,2340.0,milky,0.06859
2712,679,feta cheese,Whey,4439.0,milky,0.18474
2718,680,feta cheese,Casein,5400.0,milky,0.12054
2724,681,feta cheese,Fruit preserve,30.0,milky,0.18182
2730,682,feta cheese,Leavening agent,9220.0,milky,0.1665
2736,683,feta cheese,Marshmallow,77.0,milky,0.07639
2742,684,feta cheese,Gelatin,3900.0,milky,0.04032
2748,686,feta cheese,Other fish product,6763.0,milky,0.27416
2754,687,feta cheese,Milk (Human),68.0,milky,0.20732
2761,689,feta cheese,Other beverage,990.0,milky,0.11347
2768,690,feta cheese,Baby food,22493.0,milky,0.20565
2774,692,feta cheese,Soup,15646.0,milky,0.19349
2780,693,feta cheese,Other vegetable product,2287.0,milky,0.24764
2786,694,feta cheese,Unclassified food or beverage,1465.0,milky,0.01506
2794,695,feta cheese,Syrup,400.0,milky,0.1193
2800,696,feta cheese,Tallow,340.0,milky,0.02436
2808,701,feta cheese,Other candy,1872.0,milky,0.11716
2814,704,feta cheese,Other animal fat,440.0,milky,0.15603
2821,707,feta cheese,Cocoa powder,3420.0,milky,0.08297
2831,709,feta cheese,Chocolate,2789.0,milky,0.10857
2838,710,feta cheese,Hot chocolate,2521.0,milky,0.17324
2844,711,feta cheese,Dried milk,23994.0,milky,0.20135
2850,712,feta cheese,Milk (Other mammals),1373.0,milky,0.20058
2856,713,feta cheese,Kefir,300.0,milky,0.13799
2862,714,feta cheese,Buttermilk,4159.0,milky,0.21131
2868,715,feta cheese,Other fermented milk,630.0,milky,0.13981
2874,716,feta cheese,Soy sauce,1742.0,milky,0.16881
2880,717,feta cheese,Miso,478.0,milky,0.16242
2886,718,feta cheese,Tofu,15707.0,milky,0.22912
2893,722,feta cheese,Roe,5712.0,milky,0.23282
2899,723,feta cheese,Cichlidae (Tilapia),4125.0,milky,0.28236
2906,724,feta cheese,Icing,510.0,milky,0.14542
2913,725,feta cheese,Snack bar,11845.0,milky,0.15908
2919,728,feta cheese,Burrito,6408.0,milky,0.20234
2925,729,feta cheese,Hamburger,30331.0,milky,0.20484
2931,730,feta cheese,Baked beans,2653.0,milky,0.24709
2937,731,feta cheese,Chili,1529.0,milky,0.21116
2943,732,feta cheese,Taco,3829.0,milky,0.22455
2949,733,feta cheese,Tortilla,1056.0,milky,0.08457
2955,734,feta cheese,Nachos,2057.0,milky,0.15038
2961,735,feta cheese,Processed cheese,12008.0,milky,0.23026
2967,736,feta cheese,Salad,2814.0,milky,0.24366
2974,737,feta cheese,Cream substitute,793.0,milky,0.20086
2980,739,feta cheese,Topping,1015.0,milky,0.18631
2986,740,feta cheese,Sweet custard,1539.0,milky,0.22851
2992,742,feta cheese,Egg roll,1448.0,milky,0.15855
2998,743,feta cheese,Heart of palm,91.0,milky,0.16221
3004,744,feta cheese,Popcorn,3273.0,milky,0.10624
3010,745,feta cheese,Potato chip,5400.0,milky,0.24044
3016,746,feta cheese,Tortilla chip,1691.0,milky,0.10744
3022,747,feta cheese,Corn chip,2185.0,milky,0.12699
3028,749,feta cheese,Stew,1814.0,milky,0.20901
3034,750,feta cheese,Gelatin dessert,9226.0,milky,0.07655
3041,751,feta cheese,Junket,1100.0,milky,0.19472
3047,752,feta cheese,Falafel,856.0,milky,0.24869
3054,754,feta cheese,Other frozen dessert,250.0,milky,0.17241
3060,755,feta cheese,Lasagna,655.0,milky,0.12345
3066,757,feta cheese,Pancake,4094.0,milky,0.14383
3073,759,feta cheese,Pudding,4008.0,milky,0.1947
3080,760,feta cheese,Waffle,1600.0,milky,0.16217
3087,761,feta cheese,Soy milk,430.0,milky,0.18321
3093,762,feta cheese,Meatloaf,14242.0,milky,0.24921
3101,765,feta cheese,Couscous,318.0,milky,0.07416
3107,766,feta cheese,Bulgur,424.0,milky,0.09806
3113,767,feta cheese,Coffee substitute,329.0,milky,0.14018
3120,769,feta cheese,Chimichanga,2632.0,milky,0.20254
3126,770,feta cheese,Semolina,716.0,milky,0.06163
3132,771,feta cheese,Tapioca pearl,6.0,milky,0.22222
3138,772,feta cheese,Tostada,1988.0,milky,0.21102
3144,774,feta cheese,Baked potato,1649.0,milky,0.2352
3150,775,feta cheese,Hot dog,2027.0,milky,0.19502
3156,776,feta cheese,Spread,5420.0,milky,0.25174
