,food_id,food_name,flavor_group,orig_content,normalized
833,256,Grapefruit,milky,204.0,0.10528
840,261,Daikon radish,milky,529.0,0.22662
848,264,Red beetroot,milky,391.0,0.16544
854,268,Beer,milky,50.0,0.0012
861,269,Other bread,milky,4574.0,0.10073
866,270,Breakfast cereal,milky,11975.0,0.09304
872,272,Other soy product,milky,41223.0,0.21673
877,274,Pasta,milky,11701.0,0.08593
882,275,Biscuit,milky,17493.0,0.12106
893,280,Abalone,milky,2711.0,0.23519
899,283,Acorn,milky,1357.0,0.21353
904,284,Winter squash,milky,455.0,0.16192
909,286,Red king crab,milky,3276.0,0.2743
911,287,Alfalfa,milky,424.0,0.48792
917,289,Amaranth,milky,1919.4,0.16432
922,291,Arrowroot,milky,13.0,0.17808
927,292,Asian pear,milky,17.0,0.19767
932,293,Atlantic herring,milky,9586.0,0.28615
937,294,Atlantic mackerel,milky,3898.0,0.28613
942,295,Painted comber,milky,3234.0,0.30174
947,296,Atlantic pollock,milky,4075.0,0.28619
952,297,Atlantic wolffish,milky,5168.0,0.236
956,298,Bamboo shoots,milky,381.0,0.20053
961,299,Striped bass,milky,3716.0,0.28613
966,301,Beech nut,milky,367.0,0.18879
971,302,Beluga whale,milky,6313.0,0.27643
976,306,Blue crab,milky,6077.0,0.26295
981,307,Blue mussel,milky,2668.0,0.23777
986,308,Northern bluefin tuna,milky,4889.0,0.28612
991,309,Bluefish,milky,4200.0,0.28616
996,312,Breadfruit,milky,2510.15,0.22276
1001,313,Breadnut tree seed,milky,636.0,0.11721
1006,314,Rapini,milky,437.0,0.24661
1011,317,Burbot,milky,4048.0,0.2862
1016,319,American butterfish,milky,3622.0,0.28619
1021,320,Butternut,milky,1553.3,0.104
1026,321,Butternut squash,milky,258.0,0.16135
1028,322,Calabash,milky,306.5,0.43677
1033,326,Carob,milky,2828.0,0.1934
1038,327,Common carp,milky,3738.0,0.28617
1043,328,Cassava,milky,296.75,0.20184
1048,329,Channel catfish,milky,7861.0,0.28425
1053,330,Chayote,milky,466.75,0.1357
1058,331,Cherimoya,milky,42.0,0.10294
1063,332,Chervil,milky,370.0,0.11178
1068,333,Chia,milky,970.0,0.18447
1077,336,Chinese chestnut,milky,998.0,0.2038
1082,339,Cisco,milky,3247.0,0.28621
1087,341,Coconut,milky,2295.0,0.13369
1092,342,Pacific cod,milky,3115.0,0.29252
1097,343,Atlantic cod,milky,11592.0,0.28614
1102,344,Common octopus,milky,3342.0,0.23775
1107,345,Corn salad,milky,852.75,0.20997
1112,346,Cottonseed,milky,8754.0,0.18413
1117,347,Catjang pea,milky,2714.0,0.24213
1122,348,Malus (Crab apple),milky,50.0,0.19011
1127,350,Atlantic croaker,milky,3204.0,0.27808
1132,351,Cusk,milky,3980.0,0.2861
1137,352,Cuttlefish,milky,3640.0,0.23778
1142,355,Dock,milky,325.0,0.1652
1147,356,Dolphin fish,milky,3877.0,0.28613
1152,357,Freshwater drum,milky,3676.0,0.28614
1157,359,Dungeness crab,milky,3454.0,0.27432
1162,361,Eastern oyster,milky,3176.0,0.2367
1167,362,Freshwater eel,milky,3865.0,0.28615
1172,363,Elderberry,milky,93.0,0.08101
1177,367,European anchovy,milky,4522.0,0.28615
1182,368,European chestnut,milky,1410.3,0.18865
1187,369,Turbot,milky,4864.0,0.23411
1192,371,Florida pompano,milky,3872.0,0.28612
1197,372,Ginkgo nuts,milky,1142.7,0.15018
1202,374,Grape,milky,182.0,0.08067
1207,375,Greenland halibut/turbot,milky,4212.0,0.23369
1212,377,Grouper,milky,4061.0,0.28613
1217,379,Haddock,milky,10379.0,0.21788
1222,380,Hippoglossus (Common halibut),milky,8014.0,0.28521
1227,381,Hazelnut,milky,1757.0,0.09607
1232,382,Hickory nut,milky,497.0,0.13722
1237,384,Horseradish tree,milky,2665.75,0.1749
1242,386,Hyacinth bean,milky,4204.5,0.22287
1247,388,Pacific jack mackerel,milky,2130.0,0.28614
1252,389,Jackfruit,milky,69.0,0.15436
1257,390,Japanese chestnut,milky,735.0,0.18274
1262,392,Jerusalem artichoke,milky,428.8,0.24192
1267,394,Jute,milky,1533.25,0.16337
1272,395,Kale,milky,1601.0,0.16937
1277,396,Kelp,milky,82.0,0.17263
1282,397,King mackerel,milky,4251.0,0.28615
1288,399,Lambsquarters,milky,2198.5,0.22856
1293,401,Wild leek,milky,948.0,0.20193
1298,402,Common ling,milky,3980.0,0.28619
1303,403,Lingcod,milky,3701.0,0.28615
1308,404,American lobster,milky,2666.0,0.23452
1313,406,Lotus,milky,1249.0,0.184
1318,407,Sacred lotus,milky,1012.0,0.13376
1324,408,White lupine,milky,5642.75,0.14756
1330,409,Malabar spinach,milky,752.25,0.20926
1331,410,Mammee apple,milky,37.0,1.0
1336,413,Milkfish,milky,4303.0,0.28612
1341,414,Monkfish,milky,3035.0,0.28616
1343,416,Moth bean,milky,3412.9,0.62966
1348,417,Mountain yam,milky,352.0,0.17902
1353,418,Striped mullet,milky,4055.0,0.28615
1358,420,White mustard,milky,3690.1,0.18996
1364,423,Nopal,milky,122.0,0.20784
1369,424,Ocean pout,milky,3487.0,0.28615
1374,427,Okra,milky,513.0,0.17009
1379,432,Pacific herring,milky,3436.0,0.28617
1384,433,Pacific oyster,milky,2118.0,0.23774
1389,434,Pacific rockfish,milky,3996.0,0.3
1394,436,Pepper (C. frutescens),milky,407.6,0.19432
1399,437,Common persimmon,milky,45.0,0.2093
1404,439,Northern pike,milky,4035.0,0.28611
1409,440,Pili nut,milky,369.0,0.11977
1414,441,Colorado pinyon,milky,881.75,0.13276
1420,444,French plantain,milky,157.0,0.16236
1425,447,Opium poppy,milky,2090.95,0.14954
1430,448,Prairie turnip,milky,274.3,0.2778
1437,450,Quinoa,milky,1005.0,0.20816
1442,453,Rainbow smelt,milky,3695.0,0.28619
1447,454,Rainbow trout,milky,8189.0,0.28611
1452,458,Orange roughy,milky,3582.0,0.30341
1457,459,Sablefish,milky,4433.0,0.28617
1462,460,Pink salmon,milky,11468.0,0.25508
1467,461,Chum salmon,milky,9886.0,0.28127
1472,462,Coho salmon,milky,12647.0,0.28437
1477,463,Sockeye salmon,milky,19389.0,0.26231
1482,464,Chinook salmon,milky,9464.0,0.27846
1487,465,Atlantic salmon,milky,8058.0,0.2846
1492,468,Sapodilla,milky,39.0,0.28676
1497,469,Mamey sapote,milky,73.0,0.17136
1502,470,Spanish mackerel,milky,3937.0,0.2861
