,food_id,flavor_group,orig_content,normalized
2872,918,fruity,5584.0,0.13964
2878,919,fruity,1911.05,0.40442
2883,920,fruity,92.0485,0.05721
2889,921,fruity,332.0,0.27993
2894,922,fruity,332.0,0.28017
2899,923,fruity,326.0,0.28055
2904,924,fruity,311.0,0.28043
2910,939,fruity,3.0,0.01614
2916,940,fruity,3.0,0.01614
2927,949,fruity,3340.0899999999997,0.85576
2934,985,fruity,271.0,0.30246
2939,1019,fruity,15770.0,0.37956
2946,1023,fruity,1400.0,0.31015
