,food_id,food_name,flavor_group,orig_content,normalized
2427,762,Meatloaf,chemical,9755.0,0.17069
2434,765,Couscous,chemical,485.0,0.11311
2439,766,Bulgur,chemical,545.0,0.12604
2444,767,Coffee substitute,chemical,356.0,0.15168
2450,769,Chimichanga,chemical,2092.0,0.16098
2455,770,Semolina,chemical,1364.0,0.1174
2460,771,Tapioca pearl,chemical,5.0,0.18519
2465,772,Tostada,chemical,1503.0,0.15954
2470,774,Baked potato,chemical,714.0,0.10184
2475,775,Hot dog,chemical,1873.0,0.1802
2480,776,Spread,chemical,3600.0,0.16721
2485,777,Enchilada,chemical,1077.0,0.15762
2490,778,Egg substitute,chemical,624.0,0.17788
2495,779,Nutritional drink,chemical,135.0,0.10774
2501,780,Other sandwich,chemical,10080.0,0.16224
2506,781,Ketchup,chemical,328.0,0.22969
2511,782,Breakfast sandwich,chemical,11285.0,0.14919
2516,784,Macaroni and cheese,chemical,2228.0,0.11417
2521,785,Butterfat,chemical,10.0,0.10204
2526,787,Hushpuppy,chemical,383.0,0.16431
2531,789,Relish,chemical,90.0,0.16605
2536,790,Other fruit product,chemical,320.0,0.23324
2541,793,Vegetarian food,chemical,3826.0,0.14596
2546,795,Cold cut,chemical,10177.0,0.18942
2551,796,Mixed nuts,chemical,7199.0,0.16509
2556,803,Phyllo dough,chemical,229.0,0.11624
2561,805,Pie crust,chemical,2689.0,0.11432
2567,806,Pie filling,chemical,13.0,0.18571
2572,807,Pie,chemical,3286.0,0.12772
2578,810,Ice cream cone,chemical,490.0,0.11134
2584,812,Cracker,chemical,12390.0,0.12541
2589,815,Natto,chemical,798.0,0.14337
2594,816,Ravioli,chemical,331.0,0.14711
2599,818,Other pasta dish,chemical,412.0,0.15009
2604,819,Succotash,chemical,1834.0,0.19148
2609,820,Tamale,chemical,1049.0,0.19981
2614,824,Evaporated milk,chemical,965.0,0.09937
2619,829,Pita bread,chemical,947.0,0.12161
2624,831,Bagel,chemical,3200.0,0.12143
2629,832,Other bread product,chemical,3550.0,0.12748
2634,835,French toast,chemical,1202.0,0.14216
2639,836,Wheat bread,chemical,12224.0,0.12491
2644,837,Rye bread,chemical,4488.0,0.1411
2650,838,Oat bread,chemical,2758.0,0.13078
2655,839,Potato bread,chemical,243.0,0.13846
2660,840,Cornbread,chemical,1393.0,0.16593
2665,841,Corn grits,chemical,3662.0,0.23921
2670,842,Multigrain bread,chemical,712.0,0.1456
2675,843,Rice bread,chemical,685.0,0.13053
2680,845,Raisin bread,chemical,824.0,0.1273
2685,846,Wonton wrapper,chemical,307.0,0.11494
2690,848,Trail mix,chemical,2625.0,0.16049
2695,850,Fruit-flavor drink,chemical,112.0,0.102
2701,854,Frozen yogurt,chemical,276.0,0.09481
2707,855,Milkshake,chemical,598.0,0.09983
2714,858,Pupusa,chemical,1423.0,0.15672
2719,859,Empanada,chemical,578.0,0.16841
2724,860,Arepa,chemical,342.0,0.20406
2729,862,Gefilte fish,chemical,546.0,0.17843
2734,865,Other dish,chemical,13716.0,0.16161
2740,866,Pot pie,chemical,643.0,0.16067
2745,867,Stuffing,chemical,346.0,0.1778
2750,868,Edible shell,chemical,997.0,0.22087
2757,871,Condensed milk,chemical,273.0,0.09949
