,food_id,food_name,flavor_group,orig_content,normalized
2202,707,Cocoa powder,green,3653.0,0.08863
2210,709,Chocolate,green,2197.0,0.08552
2216,710,Hot chocolate,green,1956.0,0.13441
2222,711,Dried milk,green,16536.0,0.13876
2227,712,Milk (Other mammals),green,1003.0,0.14653
2232,713,Kefir,green,340.0,0.15639
2237,714,Buttermilk,green,2792.0,0.14186
2242,715,Other fermented milk,green,700.0,0.15535
2247,716,Soy sauce,green,1218.0,0.11803
2252,717,Miso,green,352.0,0.11961
2257,718,Tofu,green,8329.0,0.1215
2262,722,Roe,green,3527.0,0.14376
2267,723,Cichlidae (Tilapia),green,1550.0,0.1061
2272,724,Icing,green,332.0,0.09467
2278,725,Snack bar,green,9189.0,0.12341
2284,728,Burrito,green,3256.0,0.10281
2289,729,Hamburger,green,12908.0,0.08717
2294,730,Baked beans,green,1063.0,0.099
2299,731,Chili,green,635.0,0.0877
2304,732,Taco,green,1815.0,0.10644
2309,733,Tortilla,green,1410.0,0.11293
2314,734,Nachos,green,1650.0,0.12062
2319,735,Processed cheese,green,7257.0,0.13916
2324,736,Salad,green,1304.0,0.11291
2329,737,Cream substitute,green,556.0,0.14083
2335,739,Topping,green,797.0,0.14629
2340,740,Sweet custard,green,903.0,0.13408
2345,742,Egg roll,green,829.0,0.09077
2350,743,Heart of palm,green,49.0,0.08734
2355,744,Popcorn,green,3842.0,0.1247
2360,745,Potato chip,green,3133.0,0.1395
2365,746,Tortilla chip,green,2111.0,0.13413
2370,747,Corn chip,green,2128.0,0.12368
2375,749,Stew,green,750.0,0.08642
2380,750,Gelatin dessert,green,808.0,0.0067
2385,751,Junket,green,676.0,0.11967
2391,752,Falafel,green,339.0,0.09849
2396,754,Other frozen dessert,green,120.0,0.08276
2402,755,Lasagna,green,479.0,0.09028
2407,757,Pancake,green,3238.0,0.11375
2412,759,Pudding,green,2586.0,0.12562
2418,760,Waffle,green,902.0,0.09143
2424,761,Soy milk,green,291.0,0.12399
2430,762,Meatloaf,green,5646.0,0.09879
2437,765,Couscous,green,435.0,0.10145
2442,766,Bulgur,green,448.0,0.10361
2447,767,Coffee substitute,green,278.0,0.11845
2453,769,Chimichanga,green,1261.0,0.09704
2458,770,Semolina,green,1086.0,0.09348
2463,771,Tapioca pearl,green,2.0,0.07407
2468,772,Tostada,green,1045.0,0.11092
2473,774,Baked potato,green,938.0,0.13379
2478,775,Hot dog,green,914.0,0.08794
2483,776,Spread,green,2198.0,0.10209
2488,777,Enchilada,green,790.0,0.11562
2493,778,Egg substitute,green,456.0,0.12999
2498,779,Nutritional drink,green,150.0,0.11971
2504,780,Other sandwich,green,5949.0,0.09575
2509,781,Ketchup,green,132.0,0.09244
2514,782,Breakfast sandwich,green,8818.0,0.11658
2519,784,Macaroni and cheese,green,1880.0,0.09634
2524,785,Butterfat,green,14.0,0.14286
2529,787,Hushpuppy,green,289.0,0.12398
2534,789,Relish,green,51.0,0.0941
2539,790,Other fruit product,green,192.0,0.13994
2544,793,Vegetarian food,green,3174.0,0.12109
2549,795,Cold cut,green,5130.0,0.09548
2554,796,Mixed nuts,green,5342.0,0.12251
2559,803,Phyllo dough,green,215.0,0.10914
2564,805,Pie crust,green,2160.0,0.09183
2570,806,Pie filling,green,5.0,0.07143
2575,807,Pie,green,2985.0,0.11602
2581,810,Ice cream cone,green,439.0,0.09975
2587,812,Cracker,green,10193.0,0.10317
2592,815,Natto,green,556.0,0.09989
2597,816,Ravioli,green,228.0,0.10133
2602,818,Other pasta dish,green,133.0,0.04845
2607,819,Succotash,green,1137.0,0.11871
2612,820,Tamale,green,506.0,0.09638
2617,824,Evaporated milk,green,1351.0,0.13912
2622,829,Pita bread,green,806.0,0.10351
2627,831,Bagel,green,2732.0,0.10367
2632,832,Other bread product,green,2834.0,0.10177
2637,835,French toast,green,991.0,0.11721
2642,836,Wheat bread,green,9084.0,0.09283
2647,837,Rye bread,green,2726.0,0.0857
2653,838,Oat bread,green,2622.0,0.12433
2658,839,Potato bread,green,213.0,0.12137
2663,840,Cornbread,green,1019.0,0.12138
2668,841,Corn grits,green,1780.0,0.11627
2673,842,Multigrain bread,green,492.0,0.10061
2678,843,Rice bread,green,566.0,0.10785
2683,845,Raisin bread,green,630.0,0.09733
2688,846,Wonton wrapper,green,273.0,0.10221
2693,848,Trail mix,green,2086.0,0.12754
2698,850,Fruit-flavor drink,green,148.0,0.13479
2704,854,Frozen yogurt,green,359.0,0.12333
2710,855,Milkshake,green,782.0,0.13055
2717,858,Pupusa,green,911.0,0.10033
2722,859,Empanada,green,306.0,0.08916
2727,860,Arepa,green,154.0,0.09189
2732,862,Gefilte fish,green,380.0,0.12418
2737,865,Other dish,green,9614.0,0.11328
2743,866,Pot pie,green,370.0,0.09245
2748,867,Stuffing,green,179.0,0.09198
2753,868,Edible shell,green,517.0,0.11453
2760,871,Condensed milk,green,382.0,0.13921
2765,872,Margarine,green,357.0,0.15388
2770,873,Margarine-like spread,green,57.0,0.14214
2775,874,Hummus,green,134.0,0.10493
2780,876,Potato puffs,green,149.0,0.12458
2785,877,Potato gratin,green,702.0,0.1389
2790,878,Milk substitute,green,100.0,0.15314
2795,880,Soft-necked garlic,green,137.7,0.10305
2800,881,Cabbage,green,150.85,0.04774
2806,906,Sunburst squash (pattypan squash),green,5304.05,0.12383
2811,907,Green zucchini,green,718.06,0.11741
2817,908,Yellow zucchini,green,703.1999999999999,0.11154
2824,909,Green bell pepper,green,691.15,0.08683
2830,910,Yellow bell pepper,green,189.12,0.08861
2836,911,Orange bell pepper,green,166.93,0.07419
2842,912,Red bell pepper,green,19713.16914667,0.09211
2847,913,Italian sweet red pepper,green,514.0,0.08637
2853,914,Yellow wax bean,green,1553.2,0.09941
2859,915,Green bean,green,556.82,0.08847
2863,916,Saskatoon berry,green,9.1,0.06431
2867,917,Nanking cherry,green,21.2,0.07343
2873,918,Japanese pumpkin,green,4994.3,0.12489
2879,919,White cabbage,green,239.7,0.05073
2884,920,Romaine lettuce,green,127.3,0.07912
2890,921,"Cow milk, pasteurized, vitamin A + D added, 0% fat",green,170.0,0.14334
2895,922,"Cow milk, pasteurized, vitamin A + D added, 1% fat",green,170.0,0.14346
2900,923,"Cow milk, pasteurized, vitamin A + D added, 2% fat",green,167.0,0.14372
2905,924,"Cow milk, pasteurized, vitamin D added, 3.25% fat",green,159.0,0.14337
2911,939,Black tea,green,3.0,0.01614
2917,940,Green tea,green,3.0,0.01614
2922,943,Red wine,green,8.39,0.00959
2928,949,White wine,green,65.67299999999999,0.016829999999999998
2935,985,Sour cream,green,137.0,0.1529
2940,1019,White bread,green,4378.0,0.10537
2947,1023,Taco shell,green,517.0,0.11453
