,source_id,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
171,484,17,foliage,Burdock,208.0,floral,0.13666
172,556,17,ketone,Burdock,168.0,chemical,0.11038
173,570,17,lemon peel,Burdock,350.0,fruity,0.22996
174,446,18,diphenyl oxide,Horseradish,175.0,green,0.07021
175,465,18,everlasting,Horseradish,478.0,floral,0.19176
176,474,18,feta cheese,Horseradish,210.0,milky,0.08425
177,484,18,foliage,Horseradish,303.0,floral,0.12156
178,556,18,ketone,Horseradish,277.0,chemical,0.11113
179,570,18,lemon peel,Horseradish,1042.0,fruity,0.41803
180,633,18,neroli,Horseradish,3.165000098,floral,0.00127
181,846,18,watercress,Horseradish,4.5,fruity,0.00181
182,446,21,diphenyl oxide,Asparagus,1082.7,green,0.07625
183,465,21,everlasting,Asparagus,2471.3,floral,0.17404
184,474,21,feta cheese,Asparagus,2364.0,milky,0.16648
185,484,21,foliage,Asparagus,1985.2,floral,0.13981
186,556,21,ketone,Asparagus,3167.05,chemical,0.22304
187,570,21,lemon peel,Asparagus,3122.15,fruity,0.21988
188,604,21,mercaptan,Asparagus,5.7,chemical,0.0004
189,633,21,neroli,Asparagus,1.39,floral,0.0001
190,446,22,diphenyl oxide,Oat,5687.384163,green,0.11069
191,465,22,everlasting,Oat,10639.6193261,floral,0.20708
192,474,22,feta cheese,Oat,6889.335913,milky,0.13409
193,484,22,foliage,Oat,7791.416273,floral,0.15164
194,556,22,ketone,Oat,8491.917295700001,chemical,0.16528
195,570,22,lemon peel,Oat,6606.6,fruity,0.12858
196,787,22,styrene,Oat,5272.916087,wine_like,0.10263
197,838,22,very sweet,Oat,0.212499993,sweet,0.0
198,846,22,watercress,Oat,0.712111105,fruity,1e-05
199,847,22,watery,Oat,0.090000004,wine_like,0.0
200,446,23,diphenyl oxide,Star fruit,272.0,green,0.15145
201,465,23,everlasting,Star fruit,306.0,floral,0.17038
202,474,23,feta cheese,Star fruit,393.0,milky,0.21882
203,484,23,foliage,Star fruit,306.0,floral,0.17038
204,556,23,ketone,Star fruit,213.0,chemical,0.1186
205,570,23,lemon peel,Star fruit,306.0,fruity,0.17038
206,446,24,diphenyl oxide,Brazil nut,1724.9,green,0.11412
207,465,24,everlasting,Brazil nut,3622.75,floral,0.23967
208,474,24,feta cheese,Brazil nut,1572.35,milky,0.10402
209,484,24,foliage,Brazil nut,2826.35,floral,0.18698
210,556,24,ketone,Brazil nut,2376.85,chemical,0.15725
211,570,24,lemon peel,Brazil nut,2992.2,fruity,0.19796
212,446,25,diphenyl oxide,Common beet,391.0,green,0.13322
213,465,25,everlasting,Common beet,536.0,floral,0.18262
214,474,25,feta cheese,Common beet,542.0,milky,0.18467
215,484,25,foliage,Common beet,445.0,floral,0.15162
216,556,25,ketone,Common beet,612.0,chemical,0.20852
217,570,25,lemon peel,Common beet,409.0,fruity,0.13935
218,446,27,diphenyl oxide,Chinese mustard,753.0,green,0.37472
219,465,27,everlasting,Chinese mustard,554.0,floral,0.27569
220,474,27,feta cheese,Chinese mustard,648.0,milky,0.32247
221,604,27,mercaptan,Chinese mustard,16.2,chemical,0.00806
222,633,27,neroli,Chinese mustard,38.3,floral,0.01906
223,446,28,diphenyl oxide,Swede,73.0,green,0.13597
224,465,28,everlasting,Swede,150.0,floral,0.27939
225,474,28,feta cheese,Swede,123.0,milky,0.2291
226,484,28,foliage,Swede,87.0,floral,0.16205
